group,age,fiinc,fninc,ownermort,ownerhome,rentalmort,rentalhome,dweght,year
group 7,65,5823.585180079813,5342.031472945727,-3497.6034639148447,16576.925402149034,-226.40261046576018,5193.341963841217,4.73978e10,1969
group 6,65,5154.807052312401,4827.473230664823,-1353.9482132269166,13335.346141712369,-359.64292075768253,7010.275305367138,6.31424e10,1969
group 5,65,4165.550781655445,3913.050902713654,-1779.6628858832048,13202.79881635929,-168.0752347973053,11800.074403017426,7.43444e10,1969
group 4,65,3143.0021363137794,2977.7481292983525,-1225.8333894585103,10977.940158718095,-80.49819972249455,6535.50257428647,1.28393288509e11,1969
group 3,65,2284.0001462707723,2147.3894213565623,-840.8929405817212,8798.244492984697,-105.10554556959607,3672.473075595184,2.03421916672e11,1969
group 2,65,1203.0338285616456,1168.5256764152814,-150.3962521556975,3900.358283749292,-28.848072886049472,3379.224777425889,3.22442776791e11,1969
group 10,0,14797.31617780628,13234.939210769082,-5162.371196233716,16581.406575709923,-1659.9572432387833,6872.714046314562,1.163463e12,1969
group 1,0,-119.02890441786148,-275.22331291095446,-380.4127938501603,1384.273414758294,-1230.0478405884417,1920.442281884498,3.17035346221e11,1969
group 2,0,1169.1421384387982,1143.8889006656223,-655.5353632786964,1829.4409144136098,-333.0265057888407,858.7214882897916,9.3090176485e11,1969
group 9,0,7782.255993219171,7694.865227017555,-3785.481117989233,9716.410440962634,-957.8852954698851,2246.7066278954003,1.1991165e12,1969
group 3,0,2100.02054642761,2069.0462014487584,-777.1565719389824,2359.6563217182866,-345.8980937124016,1016.3397624342265,1.0349475e12,1969
group 7,0,5393.164841967599,5336.495596573092,-2651.073490890717,6606.974430217562,-500.2163072724227,1397.6763308262102,1.2034487e12,1969
group 8,0,6349.054876671496,6303.586239596162,-3129.0290117783725,7370.340577103024,-563.7549891715436,1368.2803367854121,1.249893e12,1969
group 6,0,4592.861115014463,4553.722167803861,-2285.9300270005206,5361.016691268149,-503.8010165272001,1011.6337850413013,1.1712333e12,1969
group 5,0,3853.9189887921584,3819.688758077892,-1841.4453279832567,4154.6992108080985,-469.5709888168821,1233.6514029514237,1.1771227e12,1969
group 4,0,2997.4474121813782,2964.859136762063,-1222.8711386798523,3737.1505635451967,-380.8214667398772,1050.0912613215482,1.1461186e12,1969
